,날짜,누적확진자,일일확진자
378,20210202,78838,336
379,20210203,79305,467
380,20210204,79756,451
381,20210205,80126,370
382,20210206,80516,390
383,20210207,80887,371
384,20210208,81175,288
385,20210209,81478,303
386,20210210,81922,444
387,20210211,82426,504
388,20210212,82829,403
389,20210213,83191,362
390,20210214,83517,326
391,20210215,83860,343
392,20210216,84317,457
393,20210217,84938,621
394,20210218,85559,621
395,20210219,86120,561
396,20210220,86568,448
397,20210221,86984,416
398,20210222,87316,332
399,20210223,87672,356
400,20210224,88112,440
401,20210225,88507,395
402,20210226,88894,387
403,20210227,89309,415
404,20210228,89664,355
405,20210301,90019,355
406,20210302,90363,344
407,20210303,90807,444
408,20210304,91231,424
409,20210305,91629,398
410,20210306,92047,418
411,20210307,92463,416
412,20210308,92809,346
413,20210309,93255,446
414,20210310,93725,470
415,20210311,94190,465
416,20210312,94678,488
417,20210313,95168,490
418,20210314,95627,459
419,20210315,96006,379
420,20210316,96369,363
421,20210317,96838,469
422,20210318,97283,445
423,20210319,97746,463
424,20210320,98193,447
425,20210321,98649,456
426,20210322,99064,415
427,20210323,99410,346
428,20210324,99838,428
429,20210325,100268,430
430,20210326,100757,489
431,20210327,101262,505
432,20210328,101744,482
433,20210329,102126,382
434,20210330,102573,447
435,20210331,103079,506
436,20210401,103630,551
437,20210402,104187,557
438,20210403,104730,543
439,20210404,105273,543
440,20210405,105746,473
441,20210406,106223,477
442,20210407,106891,668
443,20210408,107591,700
444,20210409,108262,671
445,20210410,108939,677
446,20210411,109553,614
447,20210412,110140,587
448,20210413,110682,542
449,20210414,111413,731
450,20210415,112111,698
451,20210416,112784,673
452,20210417,113442,658
453,20210418,114113,671
454,20210419,114645,532
455,20210420,115194,549
456,20210421,115925,731
457,20210422,116660,735
458,20210423,117457,797
459,20210424,118242,785
460,20210425,118886,644
461,20210426,119385,499
462,20210427,119897,512
463,20210428,120666,769
464,20210429,121345,679
465,20210430,122006,661
466,20210501,122633,627
467,20210502,123239,606
468,20210503,123727,488
469,20210504,124268,541
470,20210505,124944,676
471,20210506,125518,574
472,20210507,126043,525
473,20210508,126744,701
474,20210509,127308,564
475,20210510,127771,463
476,20210511,128281,510
477,20210512,128915,634
478,20210513,129630,715
479,20210514,130377,747
480,20210515,131058,681
481,20210516,131668,610
482,20210517,132287,619
483,20210518,132815,528
484,20210519,133469,654
485,20210520,134115,646
486,20210521,134676,561
487,20210522,135342,666
488,20210523,135927,585
489,20210524,136457,530
490,20210525,136973,516
491,20210526,137678,705
492,20210527,138307,629
493,20210528,138894,587
494,20210529,139427,533
495,20210530,139907,480
496,20210531,140337,430
497,20210601,140796,459
498,20210602,141473,677
499,20210603,142154,681
500,20210604,142849,695
501,20210605,143593,744
502,20210606,144149,556
503,20210607,144634,485
504,20210608,145088,454
505,20210609,145690,602
506,20210610,146300,610
507,20210611,146856,556
508,20210612,147421,565
509,20210613,147873,452
510,20210614,148272,399
511,20210615,148645,373
512,20210616,149190,545
513,20210617,149730,540
514,20210618,150237,507
515,20210619,150719,482
516,20210620,151148,429
517,20210621,151505,357
518,20210622,151899,394
519,20210623,152544,645
520,20210624,153154,610
521,20210625,153788,634
522,20210626,154456,668
523,20210627,155070,614
524,20210628,155571,501
525,20210629,156166,595
526,20210630,156960,794
527,20210701,157721,761
528,20210702,158546,825
529,20210703,159340,794
530,20210704,160083,743
531,20210705,160794,711
532,20210706,161540,746
533,20210707,162751,1211
534,20210708,164026,1275
535,20210709,165342,1316
536,20210710,166720,1378
537,20210711,168044,1324
538,20210712,169144,1100
539,20210713,170294,1150
540,20210714,171907,1613
541,20210715,173506,1599
542,20210716,175041,1535
543,20210717,176490,1449
544,20210718,177943,1453
545,20210719,179194,1251
546,20210720,180472,1278
547,20210721,182253,1781
548,20210722,184094,1841
549,20210723,185723,1629
550,20210724,187350,1627
551,20210725,188837,1487
552,20210726,190155,1318
553,20210727,191518,1363
554,20210728,193413,1895
555,20210729,195086,1673
556,20210730,196796,1710
557,20210731,198334,1538
558,20210801,199776,1442
559,20210802,200994,1218
560,20210803,202194,1200
561,20210804,203919,1725
562,20210805,205694,1775
563,20210806,207398,1704
564,20210807,209221,1823
565,20210808,210948,1727
566,20210809,212439,1491
567,20210810,213976,1537
568,20210811,216197,2221
569,20210812,218184,1987
570,20210813,220173,1989
571,20210814,222101,1928
572,20210815,223917,1816
573,20210816,225471,1554
574,20210817,226843,1372
575,20210818,228646,1803
576,20210819,230798,2152
577,20210820,232938,2140
578,20210821,234725,1787
579,20210822,236351,1626
580,20210823,237768,1417
581,20210824,239275,1507
582,20210825,241429,2154
583,20210826,243311,1882
584,20210827,245148,1837
585,20210828,246939,1791
586,20210829,248558,1619
587,20210830,250043,1485
588,20210831,251413,1370
589,20210901,253437,2024
590,20210902,255397,1960
591,20210903,257105,1708
592,20210904,258908,1803
593,20210905,260398,1490
594,20210906,261773,1375
595,20210907,263370,1597
596,20210908,265417,2047
597,20210909,267466,2049
598,20210910,269359,1893
599,20210911,271223,1864
600,20210912,272978,1755
601,20210913,274411,1433
602,20210914,275919,1508
603,20210915,277984,2065
604,20210916,279926,1942
605,20210917,281934,2008
606,20210918,284021,2087
607,20210919,285930,1909
608,20210920,287534,1604
609,20210921,289263,1729
610,20210922,290983,1720
611,20210923,292698,1715
612,20210924,295127,2429
613,20210925,298397,3270
614,20210926,301165,2768
615,20210927,303546,2381
