,price,year,dong,area,region_code,per_price
204,"7,800",2012,노형동,22.28,50110,350.08976660682225
205,"37,000",2012,노형동,108.4439,50110,341.1902375329548
206,"9,300",2012,노형동,83.31,50110,111.63125675189053
207,"7,400",2012,노형동,22.28,50110,332.1364452423698
208,"7,400",2012,노형동,22.28,50110,332.1364452423698
209,"7,400",2012,노형동,22.28,50110,332.1364452423698
210,"7,600",2012,노형동,22.28,50110,341.113105924596
211,"7,600",2012,노형동,22.28,50110,341.113105924596
212,"7,800",2012,노형동,22.28,50110,350.08976660682225
213,"11,000",2012,노형동,83.31,50110,132.03697035169847
214,"8,100",2012,노형동,22.28,50110,363.5547576301616
215,"8,000",2012,노형동,22.28,50110,359.0664272890485
216,"8,160",2012,노형동,22.28,50110,366.24775583482943
217,"7,900",2012,노형동,22.28,50110,354.57809694793536
218,"8,000",2012,노형동,22.28,50110,359.0664272890485
219,"7,500",2012,노형동,22.28,50110,336.6247755834829
220,"7,900",2012,노형동,22.28,50110,354.57809694793536
221,"7,500",2012,노형동,22.28,50110,336.6247755834829
222,"14,000",2012,노형동,45.9078,50110,304.95907013622957
223,"7,300",2012,노형동,22.28,50110,327.6481149012567
224,"7,900",2012,노형동,22.28,50110,354.57809694793536
225,"7,300",2012,노형동,22.28,50110,327.6481149012567
226,"13,400",2012,노형동,45.9078,50110,291.88939570181975
227,"23,100",2012,노형동,84.11,50110,274.64035192010465
228,"20,900",2012,노형동,84.11,50110,248.4841279277137
229,"10,500",2012,노형동,68.73,50110,152.77171540811872
230,"24,100",2012,노형동,84.11,50110,286.52954464391865
231,"22,900",2012,노형동,84.11,50110,272.2625133753418
232,"21,900",2012,노형동,84.11,50110,260.37332065152776
233,"21,700",2012,노형동,84.11,50110,257.99548210676494
234,"21,500",2012,노형동,84.11,50110,255.61764356200214
235,"23,100",2012,노형동,84.11,50110,274.64035192010465
236,"21,100",2012,노형동,84.11,50110,250.86196647247652
237,"24,100",2012,노형동,84.11,50110,286.52954464391865
238,"23,000",2012,노형동,83.76,50110,274.59407831900666
239,"21,100",2012,노형동,84.11,50110,250.86196647247652
240,"22,500",2012,노형동,84.11,50110,267.5068362858162
241,"22,100",2012,노형동,84.11,50110,262.7511591962906
242,"22,300",2012,노형동,84.11,50110,265.1289977410534
243,"20,900",2012,노형동,84.11,50110,248.4841279277137
244,"23,600",2012,노형동,83.76,50110,281.7574021012416
245,"20,300",2012,노형동,84.11,50110,241.35061229342529
246,"20,700",2012,노형동,84.11,50110,246.1062893829509
247,"20,700",2012,노형동,84.11,50110,246.1062893829509
248,"7,500",2012,노형동,22.28,50110,336.6247755834829
249,"8,100",2012,노형동,22.28,50110,363.5547576301616
250,"20,500",2012,노형동,84.11,50110,243.72845083818808
251,"22,500",2012,노형동,84.11,50110,267.5068362858162
252,"21,300",2012,노형동,84.11,50110,253.23980501723932
253,"23,100",2012,노형동,84.11,50110,274.64035192010465
254,"41,300",2012,노형동,126.0894,50110,327.5453765344272
255,"22,700",2012,노형동,84.11,50110,269.884674830579
256,"20,000",2012,노형동,84.84,50110,235.73785950023571
257,"20,500",2012,노형동,84.11,50110,243.72845083818808
258,"22,100",2012,노형동,84.11,50110,262.7511591962906
259,"21,700",2012,노형동,84.11,50110,257.99548210676494
260,"21,500",2012,노형동,84.11,50110,255.61764356200214
261,"22,700",2012,노형동,84.11,50110,269.884674830579
262,"21,300",2012,노형동,84.11,50110,253.23980501723932
263,"4,000",2012,노형동,36.54,50110,109.46907498631637
264,"15,000",2012,노형동,45.9078,50110,326.74186086024594
265,"21,000",2012,노형동,57.03,50110,368.2272488164124
266,"10,500",2012,노형동,59.96,50110,175.11674449633088
267,"12,200",2012,노형동,59.83,50110,203.91108139729232
268,"9,000",2012,노형동,56.67,50110,158.81418740074113
269,"7,700",2012,노형동,22.28,50110,345.60143626570914
270,"8,300",2012,노형동,22.28,50110,372.53141831238776
271,"24,000",2012,노형동,84.09,50110,285.40849090260434
272,"16,000",2012,노형동,59.0275,50110,271.06009910634873
273,"28,000",2012,노형동,75.05,50110,373.0846102598268
274,"12,000",2012,노형동,84.96,50110,141.24293785310735
275,"25,000",2012,노형동,84.9508,50110,294.2879878706263
276,"8,000",2012,노형동,45.9078,50110,174.26232579213118
277,"15,100",2012,노형동,45.9078,50110,328.9201399326476
278,"30,000",2012,노형동,84.67,50110,354.31675918270935
279,"14,100",2012,노형동,59.58,50110,236.6565961732125
280,"7,000",2012,노형동,57.33,50110,122.1001221001221
281,"20,000",2012,노형동,84.119,50110,237.75841367586395
282,"44,500",2012,노형동,125.659,50110,354.13301076723513
283,"12,500",2012,노형동,59.83,50110,208.92528831689788
284,"39,500",2012,노형동,108.4439,50110,364.24363196085716
285,"7,000",2012,외도일동,49.896,50110,140.29180695847361
286,"13,300",2012,외도일동,74.56,50110,178.37982832618025
287,"9,700",2012,외도일동,49.896,50110,194.40436107102772
288,"12,000",2012,외도일동,59.933,50110,200.2235830010178
289,"17,900",2012,외도일동,84.9873,50110,210.61970435582728
290,"7,000",2012,외도일동,59.933,50110,116.79709008392705
291,"7,750",2012,외도일동,39.3,50110,197.20101781170484
292,"17,600",2012,외도일동,84.63,50110,207.96407893182086
293,"10,000",2012,외도일동,59.933,50110,166.8529858341815
294,"11,140",2012,외도일동,59.933,50110,185.8742262192782
295,"16,550",2012,외도일동,84.63,50110,195.557131041002
296,"10,000",2012,외도일동,75.21,50110,132.96104241457255
297,"6,700",2012,외도일동,39.84,50110,168.1726907630522
298,"8,500",2012,외도일동,39.3,50110,216.2849872773537
299,"8,500",2012,외도일동,39.3,50110,216.2849872773537
300,"9,900",2012,외도일동,75.21,50110,131.63143199042682
301,"16,500",2012,외도일동,84.63,50110,194.96632399858208
302,"17,600",2012,외도일동,84.9873,50110,207.08976517667932
303,"9,550",2012,외도일동,49.896,50110,191.39810806477473
304,"9,500",2012,외도일동,49.896,50110,190.39602372935707
305,"15,000",2012,외도일동,84.9873,50110,176.49695895739714
306,"16,700",2012,외도일동,84.9873,50110,196.4999476392355
307,"11,500",2012,외도일동,84.9873,50110,135.31433520067114
308,"9,100",2012,외도일동,49.896,50110,182.3793490460157
309,"14,200",2012,외도일동,84.9873,50110,167.08378781300263
310,"11,000",2012,외도일동,59.933,50110,183.53828441759964
311,"16,550",2012,외도일동,84.63,50110,195.557131041002
312,"9,850",2012,외도일동,49.896,50110,197.41061407728074
313,"12,800",2012,외도일동,59.933,50110,213.57182186775233
